rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,likes_to_followers_ratio,engagement_score,activity_level,follower_tier,engagement_level,post_per_million_followers,influence_per_post,country_rank
31,chrisbrownofficial,86,7300.0,118500000.0,463200.0,0.22,255900.0,3400000000.0,United States,0.003908860759493671,18.92,High,Mega (100M+),Low,61.60337552742616,0.011780821917808219,21.0
32,fcbarcelona,90,10000.0,111400000.0,1200000.0,0.64,706300.0,11600000000.0,Not Provided,0.010771992818671455,57.6,High,Mega (100M+),Low,89.76660682226212,0.009,6.0
33,billieeilish,73,690.0,105200000.0,8500000.0,5.02,5200000.0,5900000000.0,Not Provided,0.08079847908745247,366.46,Low,Mega (100M+),High,6.55893536121673,0.10579710144927536,7.0
34,dualipa,74,1300.0,85900000.0,2100000.0,1.26,1100000.0,2600000000.0,United Kingdom,0.024447031431897557,93.24,Medium,Macro (10M - 100M),Medium,15.133876600698487,0.05692307692307692,1.0
35,gal_gadot,85,1700.0,85600000.0,1400000.0,0.69,586500.0,2300000000.0,United States,0.016355140186915886,58.65,Medium,Macro (10M - 100M),Low,19.859813084112147,0.05,22.0
36,vindiesel,88,1800.0,82300000.0,1400000.0,0.6,482300.0,2500000000.0,United States,0.01701093560145808,52.8,Medium,Macro (10M - 100M),Low,21.87120291616039,0.04888888888888889,23.0
37,nasa,88,3600.0,81300000.0,1200000.0,1.53,1200000.0,4200000000.0,United States,0.014760147601476014,134.64000000000001,Medium,Macro (10M - 100M),Medium,44.28044280442804,0.024444444444444446,24.0
38,priyankachopra,85,3600.0,81100000.0,1600000.0,1.0,802900.0,5600000000.0,United States,0.01972872996300863,85.0,Medium,Macro (10M - 100M),Medium,44.389642416769426,0.02361111111111111,25.0
39,lalalalisa_m,70,870.0,80900000.0,5800000.0,9.0,7200000.0,5100000000.0,Not Provided,0.07169344870210136,630.0,Low,Macro (10M - 100M),High,10.754017305315204,0.08045977011494253,8.0
40,Shakira,88,2000.0,76100000.0,975100.0,0.41,304700.0,1900000000.0,Not Provided,0.012813403416557161,36.08,Medium,Macro (10M - 100M),Low,26.281208935611037,0.044,9.0
41,snoopdogg,86,10000.0,75300000.0,203700.0,0.17,125800.0,2000000000.0,Not Provided,0.0027051792828685257,14.620000000000001,High,Macro (10M - 100M),Low,132.80212483399734,0.0086,10.0
42,gigihadid,85,3300.0,75300000.0,2500000.0,2.56,1900000.0,8199999999.999999,United States,0.033200531208499334,217.6,Medium,Macro (10M - 100M),Medium,43.82470119521912,0.025757575757575757,26.0
43,davidbeckham,86,1500.0,74900000.0,1200000.0,0.46,340900.0,1900000000.0,United States,0.01602136181575434,39.56,Medium,Macro (10M - 100M),Low,20.026702269692922,0.05733333333333333,27.0
44,shraddhakapoor,81,1900.0,73900000.0,1600000.0,1.17,859900.0,3000000000.0,Not Provided,0.02165087956698241,94.77,Medium,Macro (10M - 100M),Medium,25.710419485791608,0.04263157894736842,11.0
45,victoriassecret,88,2900.0,73200000.0,147000.0,0.04,29800.0,423500000.0,United States,0.0020081967213114752,3.52,Medium,Macro (10M - 100M),Low,39.61748633879782,0.030344827586206897,28.0
46,k.mbappe,86,1200.0,72700000.0,2500000.0,2.16,1600000.0,2800000000.0,Not Provided,0.0343878954607978,185.76000000000002,Low,Macro (10M - 100M),Medium,16.506189821182943,0.07166666666666667,12.0
47,nehakakkar,84,2300.0,70400000.0,1500000.0,0.54,370100.0,3500000000.0,India,0.02130681818181818,45.36,Medium,Macro (10M - 100M),Low,32.67045454545454,0.036521739130434785,1.0
48,nba,87,12900.0,70100000.0,370800.0,0.28,196900.0,4800000000.0,United States,0.005289586305278174,24.360000000000003,High,Macro (10M - 100M),Low,184.02282453637662,0.006744186046511628,29.0
49,shawnmendes,83,2500.0,69900000.0,3500000.0,2.87,2000000.0,8800000000.0,Canada,0.05007153075822604,238.21,Medium,Macro (10M - 100M),Medium,35.765379113018604,0.0332,2.0
50,jennierubyjane,76,860.0,68900000.0,5100000.0,8.36,5700000.0,4400000000.0,Not Provided,0.07402031930333818,635.3599999999999,Low,Macro (10M - 100M),High,12.481857764876633,0.08837209302325581,13.0
51,narendramodi,85,540.0,68900000.0,2900000.0,3.01,2000000.0,1600000000.0,India,0.0420899854862119,255.85,Low,Macro (10M - 100M),High,7.83744557329463,0.1574074074074074,2.0
52,aliaabhatt,82,1800.0,68700000.0,1800000.0,3.14,2100000.0,3300000000.0,India,0.026200873362445413,257.48,Medium,Macro (10M - 100M),High,26.200873362445417,0.04555555555555556,3.0
53,deepikapadukone,83,260.0,68400000.0,1600000.0,2.23,1500000.0,419000000.0,India,0.023391812865497075,185.09,Low,Macro (10M - 100M),Medium,3.8011695906432745,0.3192307692307692,4.0
54,tomholland2013,77,1200.0,67700000.0,5400000.0,10.83,7300000.0,6600000000.0,Not Provided,0.07976366322008863,833.91,Low,Macro (10M - 100M),High,17.725258493353028,0.06416666666666666,14.0
55,ronaldinho,78,2900.0,67700000.0,872900.0,0.49,325700.0,2600000000.0,Brazil,0.012893648449039882,38.22,Medium,Macro (10M - 100M),Low,42.836041358936484,0.02689655172413793,2.0
56,emmawatson,87,340.0,67300000.0,1900000.0,0.01,0.0,639000000.0,United States,0.02823179791976226,0.87,Low,Macro (10M - 100M),Low,5.052005943536404,0.25588235294117645,30.0
